family	n_genomes	log_fc	p	p_adj
IS3	1862	0.113792527072169	6.9202455476744e-06	8.99631921197672e-05
IS30	1591	0.0723582092248014	0.15895322011175	0.344398643575458
IS21	1862	0.0582002882969946	0.193490943442115	0.359340323535357
ISAS1	1363	-0.207101627440329	2.92197716062826e-05	0.000189928515440837
IS256	1676	0.193518985041581	0.00384878613588244	0.0166780732554906
IS1182	1244	-0.165969578370875	0.026009881260746	0.0845321140974246
IS6	46	0.0762622417836402	0.778135032825404	0.964491605891436
IS982	647	-0.476702983575323	0.0594739246688993	0.154632204139138
IS110	600	0.0496304801949213	0.73933085321147	0.964491605891436
ISL3	878	0.0599723809863864	0.611623701839363	0.964491605891436
IS66	238	0.0192506676353455	0.948393481545266	0.964491605891436
IS200/IS605	54	-0.0138922158646165	0.964491605891436	0.964491605891436
IS630	40	0.0157879183955861	0.962025955225517	0.964491605891436
