fastbaps_group	n	n_contigs_median	N50_median	total_len_median	checkm_completeness_median	checkm_contamination_median
1	45	1.0	1866269.0	1884339.0	99.52	0.27
10	592	38.0	99659.0	1848617.0	99.25	0.17
11	32	17.0	260513.5	1849620.5	98.615	0.14
12	324	15.0	254599.0	1794479.5	99.245	0.27
13	125	17.0	239768.0	1762340.0	99.28	0.08
14	40	17.0	229845.5	1827474.0	98.65	0.4
15	54	27.0	195398.5	1849296.0	98.93	0.08
2	33	14.0	198002.0	1770797.0	99.69	0.08
3	67	1.0	1851429.0	1853812.0	98.91	0.67
4	48	1.0	1872105.0	1878711.5	99.63499999999999	0.35
5	66	16.0	178404.0	1773827.5	98.1	0.195
6	76	7.0	1061819.5	1864035.0	99.16	0.08
7	19	20.0	248750.0	1851798.0	99.2	0.26
8	16	22.0	194649.5	1830887.0	98.33	
9	325	26.0	123134.0	1851413.0	99.72	0.17
