genome	fastbaps_group	n_contigs	N50	total_len	assembly_level	checkm_completeness	checkm_contamination	seq_tech	strain	isolate
GCA_011290585.1	12	1	1821897	1821897	Complete Genome	99.14	0.03	Illumina GAIIx; Oxford Nanopore GridION	1043	
GCA_041877935.1	5	83	46748	1734106	Scaffold	97.02		Illumina MiSeq	C200904279	
GCA_041878065.1	5	156	22147	1702494	Scaffold	96.58	0.05	Illumina MiSeq	C200902528	
GCA_041901925.1	12	317	10509	1780394	Scaffold	96.56	0.78	Illumina MiSeq	C210701227	
GCA_042863455.1	7	20	250284	1849214	Scaffold	99.12		Illumina MiSeq	C230801223	
GCA_042863475.1	12	24	178243	1802922	Scaffold	99.36	0.35	Illumina MiSeq	C230800827	
GCA_042863555.1	7	22	243736	1851798	Scaffold	99.05	0.26	Illumina MiSeq	C230800636	
GCA_042863575.1	10	28	182142	1796807	Scaffold	99.42		Illumina MiSeq	C230800566	
GCA_042863655.1	10	27	182016	1797633	Scaffold	99.47		Illumina MiSeq	C230700278	
GCA_042863675.1	10	29	159728	1794026	Scaffold	99.47		Illumina MiSeq	C230700175	
GCA_042863745.1	9	19	220735	1799383	Scaffold	99.68		Illumina MiSeq	C230700132	
GCA_042863875.1	9	22	122912	1799754	Scaffold	99.68		Illumina MiSeq	C230600027	
GCA_042863885.1	9	20	220735	1798865	Scaffold	99.68		Illumina MiSeq	C230500377	
GCA_042863945.1	10	28	181918	1796344	Scaffold	99.47		Illumina MiSeq	C221001398	
GCA_042863975.1	2	89	60471	1811699	Scaffold	98.13	0.75	Illumina MiSeq	C221000346	
GCA_042864015.1	3	20	213799	1857433	Scaffold	99.11		Illumina MiSeq	C221000074	
GCA_042864025.1	8	42	108167	1878277	Scaffold	98.61		Illumina MiSeq	C220904060	
GCA_042864035.1	2	16	197653	1813029	Scaffold	99.69	0.35	Illumina MiSeq	C220903870	
GCA_042864075.1	14	24	162970	1739981	Scaffold	97.94	0.4	Illumina MiSeq	C220903843	
GCA_042864115.1	14	22	162886	1739495	Scaffold	97.94	0.4	Illumina MiSeq	C220803809	
GCA_042864145.1	12	22	178244	1801602	Scaffold	99.43	0.35	Illumina MiSeq	C220800246	
GCA_042864155.1	14	19	162886	1740191	Scaffold	97.94	0.4	Illumina MiSeq	C220605453	
GCA_042864165.1	10	27	181431	1796805	Scaffold	99.47		Illumina MiSeq	C220701909	
GCA_042864215.1	10	28	181432	1797040	Scaffold	99.47		Illumina MiSeq	C220604480	
GCA_042864245.1	10	28	182118	1796889	Scaffold	99.47		Illumina MiSeq	C230500136	
GCA_042864265.1	10	27	182334	1795750	Scaffold	99.37		Illumina MiSeq	C230500137	
GCA_042864315.1	2	13	198604	1743833	Scaffold	99.69	0.08	Illumina MiSeq	C230400386	
GCA_042864325.1	12	19	290020	1843283	Scaffold	99.44	0.44	Illumina MiSeq	C230400296	
GCA_042864335.1	10	28	173530	1797621	Scaffold	99.41		Illumina MiSeq	C230400325	
GCA_042864415.1	2	15	197819	1812881	Scaffold	99.69	0.35	Illumina MiSeq	C230300919	
GCA_042864435.1	9	25	122911	1798605	Scaffold	98.58		Illumina MiSeq	C230300785	
GCA_042864455.1	9	21	203798	1765630	Scaffold	98.74		Illumina MiSeq	C230300424	
GCA_042864465.1	14	24	162969	1738727	Scaffold	97.34	0.4	Illumina MiSeq	C230300812	
GCA_042864535.1	2	11	198002	1745324	Scaffold	99.69	0.08	Illumina MiSeq	C230300125	
GCA_042864555.1	13	20	171066	1718857	Scaffold	99.29		Illumina MiSeq	C230300341	
GCA_042864575.1	10	28	173530	1797087	Scaffold	99.41		Illumina MiSeq	C230300342	
GCA_042864595.1	10	27	182117	1797444	Scaffold	99.47		Illumina MiSeq	C230300124	
GCA_042864635.1	10	29	162869	1755827	Scaffold	99.14		Illumina MiSeq	C230200306	
GCA_042864655.1	11	16	257988	1882810	Scaffold	98.08	0.14	Illumina MiSeq	C230200278	
GCA_042864675.1	15	33	97887	1816597	Scaffold	98.77		Illumina MiSeq	C230200377	
GCA_042864695.1	11	15	258306	1724955	Scaffold	99.19		Illumina MiSeq	C230200210	
GCA_042864715.1	10	28	182018	1796461	Scaffold	99.47		Illumina MiSeq	C230200208	
GCA_042864735.1	13	32	124100	1745661	Scaffold	99.25		Illumina MiSeq	C230200220	
GCA_042864755.1	2	16	198133	1814174	Scaffold	99.69	0.35	Illumina MiSeq	C230101216	
GCA_042864775.1	10	26	162869	1756778	Scaffold	99.14		Illumina MiSeq	C230101084	
GCA_042864795.1	11	18	260514	1885379	Scaffold	98.08	0.14	Illumina MiSeq	C230100775	
GCA_042864815.1	10	28	162869	1755954	Scaffold	99.14		Illumina MiSeq	C230100853	
GCA_042864845.1	10	27	162869	1757196	Scaffold	99.14		Illumina MiSeq	C230100804	
GCA_042864875.1	3	14	243382	1819415	Scaffold	98.87		Illumina MiSeq	C230100435	
GCA_042864935.1	6	27	193338	1822014	Scaffold	99.48		Illumina MiSeq	C230100433	
GCA_042867545.1	11	13	258226	1727795	Scaffold	98.54		Illumina MiSeq	C240700075001	
GCA_042867595.1	9	17	222074	1799598	Scaffold	99.46		Illumina MiSeq	C240700078	
GCA_042867645.1	11	12	258226	1729526	Scaffold	98.54		Illumina MiSeq	C240700075002	
GCA_042867785.1	11	16	260513	1924722	Scaffold	98.19	0.08	Illumina MiSeq	C240600273	
GCA_042876035.1	10	27	182018	1798180	Scaffold	99.47		Illumina MiSeq	C230700079	
GCA_042876095.1	2	13	197784	1744524	Scaffold	99.69	0.08	Illumina MiSeq	C230600315	
GCA_042876155.1	9	19	204260	1799358	Scaffold	99.54		Illumina MiSeq	C230700025	
GCA_042876175.1	11	18	257951	1883126	Scaffold	98.08	0.14	Illumina MiSeq	C230600292	
GCA_042876285.1	3	14	243430	1819265	Scaffold	98.87		Illumina MiSeq	C230600131	
GCA_042876325.1	10	31	160717	1796276	Scaffold	99.47		Illumina MiSeq	C230600105	
GCA_042876445.1	10	27	180904	1794526	Scaffold	99.47		Illumina MiSeq	C231200519	
GCA_042876465.1	10	27	160866	1795693	Scaffold	99.47		Illumina MiSeq	C231200529	
GCA_042876485.1	9	28	115798	1829754	Scaffold	99.62		Illumina MiSeq	C231200483	
GCA_042876505.1	9	25	102315	1837332	Scaffold	99.68		Illumina MiSeq	C231200468	
GCA_042876545.1	10	27	181258	1796212	Scaffold	99.47		Illumina MiSeq	C231200367	
GCA_042876565.1	12	17	224194	1788017	Scaffold	98.91		Illumina MiSeq	C231200269	
GCA_042876585.1	2	13	200630	1745598	Scaffold	99.69	0.08	Illumina MiSeq	C231100356	
GCA_042876595.1	9	19	203748	1797926	Scaffold	99.54		Illumina MiSeq	C231200022	
GCA_042876625.1	2	21	194563	1803544	Scaffold	99.69	0.25	Illumina MiSeq	C231200131	
GCA_042876645.1	12	23	229894	1871317	Scaffold	99.44	0.26	Illumina MiSeq	C231100355	
GCA_042876725.1	9	25	102456	1839767	Scaffold	99.68		Illumina MiSeq	C231100348	
GCA_042876745.1	9	23	122912	1799429	Scaffold	99.68		Illumina MiSeq	C231100346	
GCA_042876765.1	2	20	148920	1773822	Scaffold	98.89	0.08	Illumina MiSeq	C231100221	
GCA_042876785.1	3	14	243346	1819574	Scaffold	98.91		Illumina MiSeq	C231000314	
GCA_042876825.1	9	18	138882	1815316	Scaffold	99.59		Illumina MiSeq	C231000040	
GCA_042876845.1	10	29	182118	1796330	Scaffold	99.47		Illumina MiSeq	C231000082	
