qg	qfocal	p_recent	n
GCA_011290585.1	focal	0.75	12
GCA_041878065.1	other	0.666666666666667	3
GCA_042863455.1	other	1	1
GCA_042863475.1	focal	0.4	5
GCA_042863555.1	other	0.5	4
GCA_042863575.1	other	0	2
GCA_042863655.1	other	0	5
GCA_042863675.1	other	0	3
GCA_042863745.1	other	0.666666666666667	3
GCA_042863875.1	other	0.666666666666667	3
GCA_042863885.1	other	0.333333333333333	3
GCA_042863945.1	other	0	2
GCA_042863975.1	other	0.5	2
GCA_042864025.1	other	0.5	4
GCA_042864035.1	other	0.333333333333333	6
GCA_042864075.1	other	0.666666666666667	3
GCA_042864115.1	other	0.333333333333333	3
GCA_042864145.1	focal	0.333333333333333	3
GCA_042864155.1	other	0.666666666666667	3
GCA_042864165.1	other	0	2
GCA_042864215.1	other	0	2
GCA_042864245.1	other	0	2
GCA_042864315.1	other	0	5
GCA_042864325.1	focal	0	4
GCA_042864335.1	other	0	3
GCA_042864415.1	other	0.166666666666667	6
GCA_042864435.1	other	0.333333333333333	3
GCA_042864455.1	other	0.333333333333333	3
GCA_042864465.1	other	0.666666666666667	3
GCA_042864535.1	other	0	6
GCA_042864575.1	other	0	4
GCA_042864595.1	other	0	3
GCA_042864635.1	other	0	2
GCA_042864655.1	other	0.75	4
GCA_042864675.1	other	0	5
GCA_042864695.1	other	0.5	2
GCA_042864715.1	other	0	2
GCA_042864755.1	other	0.142857142857143	7
GCA_042864775.1	other	0	2
GCA_042864795.1	other	0.75	4
GCA_042864815.1	other	0	2
GCA_042864845.1	other	0	2
GCA_042864875.1	other	0	3
GCA_042864935.1	other	0	2
GCA_042867595.1	other	0.666666666666667	3
GCA_042867645.1	other	0.75	4
GCA_042867785.1	other	0.75	4
GCA_042876035.1	other	0	3
GCA_042876095.1	other	0	5
GCA_042876155.1	other	0.333333333333333	3
GCA_042876175.1	other	0.75	4
GCA_042876285.1	other	0	3
GCA_042876325.1	other	0	3
GCA_042876445.1	other	0	2
GCA_042876465.1	other	0	2
GCA_042876485.1	other	0.333333333333333	3
GCA_042876505.1	other	0.333333333333333	3
GCA_042876545.1	other	0	5
GCA_042876585.1	other	0	5
GCA_042876595.1	other	0.333333333333333	3
GCA_042876625.1	other	0	4
GCA_042876645.1	focal	0.5	4
GCA_042876725.1	other	0.5	2
GCA_042876745.1	other	0.333333333333333	3
GCA_042876765.1	other	0	5
GCA_042876785.1	other	0	4
GCA_042876825.1	other	0.5	2
GCA_042876845.1	other	0	3
GCA_042876865.1	focal	0.6	5
GCA_042876885.1	focal	0	3
GCA_042876905.1	other	0.2	5
GCA_042876925.1	focal	0	5
GCA_042876945.1	other	0.666666666666667	3
GCA_042876965.1	other	0	1
GCA_042877005.1	other	1	2
GCA_042877025.1	other	0.5	4
GCA_042877065.1	other	0	5
GCA_042877085.1	other	0	3
GCA_042877105.1	focal	0	3
GCA_042877165.1	other	0.142857142857143	7
GCA_042877205.1	other	0	4
GCA_042877225.1	other	0	1
GCA_042877245.1	other	0.5	2
GCA_042877265.1	focal	0	5
GCA_042877285.1	other	0	4
GCA_042877305.1	other	0	2
GCA_042877325.1	other	0	2
GCA_042877345.1	focal	0.333333333333333	3
GCA_042877365.1	other	0	2
GCA_042877385.1	other	0	3
GCA_042877405.1	other	0.5	2
GCA_042877425.1	focal	0.4	5
GCA_042877465.1	focal	0.333333333333333	3
GCA_042877485.1	focal	0.333333333333333	3
GCA_042877505.1	other	0.2	5
GCA_042877525.1	other	0	4
GCA_042877545.1	other	0	4
GCA_042877565.1	other	0.166666666666667	6
GCA_042877585.1	other	0	4
GCA_042877605.1	focal	1	2
GCA_042877625.1	other	0.166666666666667	6
GCA_042877685.1	other	0.333333333333333	3
GCA_042877785.1	other	0.5	2
GCA_042877805.1	other	0	1
GCA_042877825.1	other	0.333333333333333	3
GCA_042877865.1	other	0	3
GCA_042877875.1	other	0	1
GCA_042877925.1	other	0	2
GCA_042877945.1	other	0.333333333333333	3
GCA_042877965.1	other	0.333333333333333	3
GCA_042878045.1	other	0.666666666666667	3
GCA_042878075.1	focal	0	3
GCA_042878125.1	focal	0.6	5
GCA_042878145.1	other	0.666666666666667	3
GCA_042878165.1	other	0.5	2
GCA_042878245.1	other	0.666666666666667	3
GCA_042878265.1	other	0.666666666666667	3
GCA_042878275.1	other	0.333333333333333	3
GCA_042878305.1	other	0.666666666666667	3
GCA_042878385.1	other	0.5	2
GCA_042878465.1	other	0.666666666666667	3
GCA_042878485.1	other	0	5
GCA_042878505.1	other	0.5	2
GCA_042878535.1	other	0.666666666666667	3
GCA_042878545.1	other	0	4
GCA_042878565.1	other	0.166666666666667	6
GCA_042878755.1	other	0.25	8
GCA_042882725.1	other	0.5	2
GCA_042882745.1	other	0.5	2
GCA_042882765.1	focal	0.833333333333333	6
GCA_042882805.1	other	0	4
GCA_042882825.1	other	0.666666666666667	3
GCA_042882865.1	focal	0	6
GCA_042882885.1	other	0.5	4
GCA_042882945.1	other	0	1
GCA_042883005.1	other	0.666666666666667	3
GCA_042883045.1	other	0	1
GCA_042883065.1	other	0.5	2
GCA_042883125.1	other	0.333333333333333	3
GCA_042883145.1	other	0	2
GCA_042883185.1	other	0	4
GCA_042883205.1	other	0.666666666666667	3
GCA_042883225.1	other	0.666666666666667	3
GCA_042883255.1	other	0	1
GCA_054325835.1	other	0	5
GCA_054326315.1	other	0.666666666666667	3
GCA_054326375.1	other	0.666666666666667	3
GCA_054326395.1	other	0.666666666666667	3
GCA_054326415.1	other	0	3
GCA_054326435.1	other	0.333333333333333	3
GCA_054326455.1	other	0	3
GCA_054326475.1	other	0.333333333333333	3
GCA_054326495.1	other	0	5
GCA_054326515.1	other	0	3
GCA_054326535.1	other	0	5
GCA_054326555.1	other	0	3
GCA_054326575.1	other	0	5
GCA_054326595.1	other	0	5
GCA_054326615.1	other	0	3
GCA_054326635.1	other	0	2
GCA_054326655.1	other	0	5
GCA_054326675.1	other	0	5
GCA_054326695.1	other	0	3
GCA_054326715.1	other	0	3
GCA_054326735.1	other	0	3
GCA_054326755.1	other	0	5
GCA_054326775.1	other	0	3
GCA_054326795.1	other	0	5
GCA_054326815.1	other	0	5
GCA_054326835.1	other	0	5
GCA_054330235.1	other	0	5
GCA_054330255.1	other	0	5
GCA_054330275.1	other	0.666666666666667	3
GCA_054330295.1	other	0	5
GCA_054330315.1	other	0	5
GCA_054330335.1	other	0	5
GCA_054330355.1	other	0.333333333333333	3
GCA_054330375.1	other	0	3
GCA_054330395.1	other	0	5
GCA_054330415.1	other	0	5
GCA_054330435.1	other	0.333333333333333	3
GCA_054330455.1	other	0	3
GCA_054330475.1	other	0	3
GCA_054330495.1	other	0	3
GCA_054330515.1	other	0	5
GCA_054330535.1	other	0.666666666666667	3
GCA_054330555.1	other	0	5
GCA_054330575.1	other	0	3
GCA_054330595.1	other	0	5
GCA_054330615.1	other	0	5
GCA_054330635.1	other	0.5	2
GCA_054330655.1	other	0	3
GCA_054330675.1	other	0.4	5
GCA_054330715.1	other	0	3
GCA_054330735.1	other	0	3
GCA_054330755.1	other	0	3
GCA_054330775.1	other	0	3
GCA_054330795.1	other	0	5
GCA_054330815.1	other	0	3
GCA_054330835.1	other	0	3
GCA_054330855.1	focal	0.571428571428571	7
GCA_054330875.1	other	0	3
GCA_054330895.1	other	0	3
GCA_054330915.1	other	0	2
GCA_054330935.1	other	0	5
GCA_054330955.1	other	0	3
GCA_054330975.1	other	0	5
GCA_054330995.1	other	0	5
GCA_054331015.1	other	0	3
GCA_054331035.1	other	0	3
GCA_054331055.1	other	0	4
GCA_054331075.1	other	0	3
GCA_054331095.1	other	0	5
GCA_054331115.1	other	0	3
GCA_054331135.1	other	0	5
GCA_054331155.1	other	0	2
GCA_054331175.1	other	0	3
GCA_054331195.1	other	0	3
GCA_054331215.1	other	0	3
GCA_054331235.1	other	0	3
GCA_054331255.1	focal	0	4
GCA_054331275.1	other	0	3
GCA_054331295.1	other	0	3
GCA_054331315.1	other	0	3
GCA_054331335.1	other	0	3
GCA_054331355.1	other	0	1
GCA_056467675.1	other	0	2
GCA_056467785.1	other	0	2
GCA_056467795.1	other	0	2
GCA_056467955.1	other	0	2
GCA_056468085.1	other	0	2
GCA_056468185.1	other	0	3
GCA_056468195.1	other	0	2
GCA_056468425.1	other	0	3
GCA_056468555.1	other	0	2
GCA_056468665.1	other	0	2
GCA_056468695.1	other	0	2
GCA_056468765.1	other	0	1
GCA_056468845.1	other	0	4
GCA_056468865.1	other	0	2
GCA_056468945.1	other	0	2
GCA_056468985.1	other	0	2
GCA_056469025.1	other	0	2
GCA_056469065.1	other	0	2
GCA_056469105.1	other	0	2
GCA_056469125.1	other	0	2
GCA_056469185.1	other	0	2
GCA_056469225.1	other	0.333333333333333	3
GCA_056469265.1	other	0	2
GCA_056469305.1	other	0	2
GCA_056469345.1	other	0	2
GCA_056469385.1	other	0	2
GCA_056469425.1	other	0	2
GCA_056469465.1	other	0	2
GCA_056469505.1	other	0	2
GCA_056469555.1	other	0	2
GCA_056469585.1	other	0	2
GCA_056469605.1	other	0.333333333333333	3
GCA_056469665.1	other	0	2
GCA_056469705.1	other	0	2
GCA_056469725.1	other	0	2
GCA_056469825.1	other	0	3
GCA_056469965.1	other	0	3
GCA_056470045.1	other	0	3
GCA_056470085.1	other	0	2
GCA_056470125.1	other	0	2
GCA_056470145.1	other	0	3
GCA_056470165.1	other	0	3
GCA_056470185.1	other	0	2
GCA_056470205.1	other	0	3
GCA_056470225.1	other	0	3
GCA_056470265.1	other	0	2
GCA_056470285.1	other	0	3
GCA_056471665.1	other	0.333333333333333	3
GCA_056471705.1	other	0	2
GCA_056471805.1	other	0	2
GCA_056471865.1	other	0	2
GCA_056471925.1	other	0	3
GCA_056471965.1	other	0	3
GCA_056472045.1	other	0	2
GCA_056472105.1	other	0	2
GCA_056472125.1	other	0	2
GCA_056472165.1	other	0	2
GCA_056472205.1	other	0	2
GCA_056472245.1	other	0	2
GCA_056472265.1	other	0	2
GCA_056472325.1	other	0	2
GCA_056472345.1	other	0.6	5
GCA_056472365.1	other	0	2
GCA_056472375.1	other	0	2
GCA_056472405.1	other	0	2
GCA_056472485.1	other	0	2
GCA_056472505.1	other	0	3
GCA_056472545.1	other	0	3
GCA_056472585.1	other	0	2
GCA_056472645.1	other	0	3
GCA_056472665.1	other	0	3
GCA_056472685.1	other	0	2
GCA_056472705.1	other	0	3
GCA_056472785.1	other	0	3
GCA_056472805.1	other	0	3
GCA_056472845.1	other	0	3
GCA_056472885.1	other	0	3
GCA_056472925.1	other	0	2
GCA_056472965.1	other	0	3
GCA_056473005.1	other	0	3
GCA_056473025.1	other	0	3
GCA_056473105.1	other	0	2
GCA_056473145.1	other	0	1
GCA_056473165.1	other	0	3
GCA_056473205.1	other	0	3
GCA_056473225.1	other	0	3
GCA_056473385.1	other	0	2
GCA_056473485.1	other	0	3
GCA_056473505.1	other	0	3
GCA_056473565.1	other	0	3
GCA_056473585.1	other	0	3
GCA_056473625.1	other	0	3
GCA_056475205.1	other	0	3
GCA_056475225.1	other	0	2
GCA_056475245.1	other	0	3
GCA_056475285.1	other	0	3
GCA_056475345.1	other	0	3
GCA_056475365.1	other	0	3
GCA_056475405.1	other	0	2
GCA_056475505.1	other	0	2
GCA_056475525.1	other	0	2
GCA_056475565.1	other	0	3
GCA_056475605.1	other	0	3
GCA_056475665.1	other	0	2
GCA_056475705.1	other	0	2
GCA_056475725.1	other	0	2
GCA_056475745.1	other	0	2
GCA_056475765.1	other	1	1
GCA_056475785.1	other	0	2
GCA_056475805.1	other	0	2
GCA_056475865.1	other	0	2
GCA_056475885.1	other	0	2
GCA_056475905.1	other	0	2
GCA_056475925.1	other	0	2
GCA_056475945.1	other	0	2
GCA_056475965.1	other	0	3
GCA_056475985.1	other	0	2
GCA_056476025.1	other	0	2
GCA_056476045.1	other	0	3
GCA_056476085.1	other	0	2
GCA_056476125.1	other	0	3
GCA_056476145.1	other	0	3
GCA_056476165.1	other	0	2
GCA_056476225.1	other	0	3
GCA_056476245.1	other	0	3
GCA_056476265.1	other	0	3
GCA_056476305.1	other	0	3
GCA_056476485.1	other	0	2
GCF_000006785.2	other	0.411764705882353	34
GCF_000007285.1	other	0.985714285714286	140
