	freq	n_scored
site00223	0.0	206
site00225	0.0	186
site00236	0.012269938650306749	163
site00237	0.00749063670411985	267
site00245	0.0049504950495049506	202
site00246	0.009852216748768473	203
site00247	0.009852216748768473	203
site00248	0.009852216748768473	203
site00249	0.01818181818181818	165
site00263	0.007434944237918215	269
site00264	0.0032258064516129032	310
site00265	0.0038461538461538464	260
site00267	0.006430868167202572	311
site00268	0.0	310
site00269	0.023809523809523808	294
site00270	0.03367003367003367	297
site00271	0.02922077922077922	308
site00272	0.043333333333333335	300
site00273	0.06976744186046512	258
site00274	0.06474820143884892	278
site00275	0.05454545454545454	275
site00276	0.059602649006622516	302
site00296	0.019011406844106463	263
site00297	0.026415094339622643	265
site00298	0.02631578947368421	266
site00299	0.07526881720430108	279
site00300	0.0072992700729927005	274
site00301	0.07167235494880546	293
site00303	0.030434782608695653	230
site00304	0.030434782608695653	230
site00305	0.0	188
site00306	0.0	303
site00307	0.016	250
site00308	0.03169014084507042	284
site00309	0.012295081967213115	244
site00310	0.003968253968253968	252
site00311	0.0	274
site00312	0.01079136690647482	278
site00313	0.0	275
site00314	0.0	275
site00315	0.0	275
site00316	0.0	286
site00317	0.006968641114982578	287
site00318	0.006968641114982578	287
site00319	0.003194888178913738	313
site00322	0.006134969325153374	163
site00323	0.01171875	256
site00324	0.010380622837370242	289
site00325	0.0043859649122807015	228
site00326	0.010033444816053512	299
site00327	0.042071197411003236	309
site00328	0.04516129032258064	310
site00329	0.018315018315018316	273
site00330	0.026578073089700997	301
site00331	0.026578073089700997	301
site00332	0.006779661016949152	295
site00333	0.045454545454545456	308
site00334	0.045454545454545456	308
site00335	0.045454545454545456	308
site00336	0.045454545454545456	308
site00337	0.05536332179930796	289
site00338	0.017985611510791366	278
site00339	0.03914590747330961	281
site00340	0.0036496350364963502	274
site00341	0.052083333333333336	288
site00342	0.0	318
site00343	0.018315018315018316	273
site00345	0.003236245954692557	309
site00346	0.0030959752321981426	323
site00347	0.0031645569620253164	316
site00348	0.0	269
site00349	0.12944983818770225	309
site00350	0.10927152317880795	302
site00351	0.027950310559006212	322
site00352	0.006289308176100629	318
site00353	0.0	279
site00354	0.05782312925170068	294
site00355	0.016286644951140065	307
site00356	0.016286644951140065	307
site00357	0.028938906752411574	311
site00358	0.028938906752411574	311
site00359	0.028938906752411574	311
site00360	0.0	319
site00361	0.016286644951140065	307
site00362	0.028938906752411574	311
site00363	0.028938906752411574	311
site00364	0.054838709677419356	310
site00365	0.006289308176100629	318
site00366	0.00641025641025641	312
site00367	0.003215434083601286	311
site00368	0.015873015873015872	315
site00369	0.009316770186335404	322
site00370	0.0030959752321981426	323
site00371	0.054838709677419356	310
site00372	0.00641025641025641	312
site00373	0.021505376344086023	186
site00374	0.008733624454148471	229
site00375	0.006756756756756757	296
site00376	0.006557377049180328	305
site00377	0.006535947712418301	306
site00378	0.003134796238244514	319
site00379	0.0	319
site00380	0.006230529595015576	321
site00381	0.006230529595015576	321
site00382	0.012422360248447204	322
site00385	0.11673151750972763	257
site00386	0.005376344086021506	186
site00387	0.007142857142857143	280
site00388	0.04794520547945205	292
site00389	0.013029315960912053	307
site00390	0.016233766233766232	308
site00391	0.0	166
site00392	0.1048951048951049	286
site00393	0.10676156583629894	281
site00394	0.10909090909090909	275
site00395	0.10526315789473684	285
site00396	0.1048951048951049	286
site00397	0.1048951048951049	286
site00398	0.11827956989247312	279
site00399	0.11870503597122302	278
site00400	0.0	295
site00401	0.0	296
site00402	0.012618296529968454	317
site00403	0.015723270440251572	318
site00404	0.003134796238244514	319
site00405	0.0	318
site00406	0.00625	320
site00407	0.006711409395973154	298
site00408	0.0064516129032258064	310
site00409	0.0	314
site00410	0.00964630225080386	311
site00411	0.025236593059936908	317
site00412	0.05379746835443038	316
site00413	0.056782334384858045	317
site00414	0.006329113924050633	316
site00415	0.0031446540880503146	318
site00416	0.003105590062111801	322
site00417	0.006269592476489028	319
site00418	0.006230529595015576	321
site00419	0.006230529595015576	321
site00420	0.009316770186335404	322
site00421	0.0	320
site00422	0.009345794392523364	321
site00423	0.0	318
site00424	0.0031847133757961785	314
site00425	0.0030959752321981426	323
site00426	0.006191950464396285	323
site00427	0.003115264797507788	321
site00428	0.0030959752321981426	323
site00429	0.006191950464396285	323
site00430	0.0	320
site00431	0.0	315
site00432	0.040372670807453416	322
site00433	0.00625	320
site00434	0.018575851393188854	323
site00435	0.018575851393188854	323
site00438	0.003105590062111801	322
site00439	0.015527950310559006	322
site00440	0.03255813953488372	215
site00441	0.0	277
site00442	0.0	277
site00443	0.0	277
site00444	0.0	277
site00445	0.10963455149501661	301
site00446	0.12418300653594772	306
site00447	0.012779552715654952	313
site00448	0.01592356687898089	314
site00449	0.061488673139158574	309
site00450	0.06451612903225806	310
site00451	0.0	316
site00452	0.0030864197530864196	324
site00453	0.0030864197530864196	324
site00454	0.003134796238244514	319
site00455	0.003134796238244514	319
site00456	0.0	324
site00457	0.0	324
site00458	0.0035971223021582736	278
site00459	0.05555555555555555	306
site00460	0.054838709677419356	310
site00461	0.023026315789473683	304
site00462	0.00909090909090909	220
site00463	0.004545454545454545	220
site00464	0.0034602076124567475	289
site00465	0.0034602076124567475	289
site00466	0.04	300
site00467	0.03986710963455149	301
site00468	0.05555555555555555	306
site00469	0.0	322
site00470	0.003355704697986577	298
site00471	0.003278688524590164	305
site00472	0.006535947712418301	306
site00473	0.020134228187919462	298
site00474	0.006211180124223602	322
site00475	0.02287581699346405	306
site00476	0.022508038585209004	311
site00477	0.04075235109717868	319
site00478	0.0125	320
site00479	0.015527950310559006	322
site00480	0.006289308176100629	318
site00481	0.006289308176100629	318
site00482	0.0759493670886076	316
site00483	0.047021943573667714	319
site00484	0.003745318352059925	267
site00485	0.009316770186335404	322
site00486	0.009316770186335404	322
site00487	0.0031645569620253164	316
site00488	0.0030864197530864196	324
site00489	0.0	310
site00490	0.00641025641025641	312
site00491	0.0	312
site00492	0.00641025641025641	312
site00493	0.00641025641025641	312
site00494	0.03514376996805112	313
site00495	0.03426791277258567	321
site00496	0.03426791277258567	321
site00497	0.0	324
site00498	0.0	321
